chembl_id,smiles,pchembl_value,pchembl_std,n_records
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2C(C)(C)C)OCO3)nc2c(N)nccc21,5.26,0.0,1
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2Cl)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2[N+](=O)[O-])OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)NCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2cc(C(F)(F)F)nc3c(-c4cnc5ccccc5c4)cccc23)ccc1C(N)=O,5.84,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2cc(C(F)(F)F)nc3c(-n4cnc(-c5ccccc5)c4)cccc23)ccc1C(N)=O,5.47,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2cc(C(F)(F)F)nc3c(-n4cnc(-c5cccnc5)c4)cccc23)ccc1C(N)=O,6.7,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2cc(C(F)(F)F)nc3c(-n4cnc(-c5cnn(C(F)F)c5)c4)cccc23)ccc1C(N)=O,6.1,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2ccnc3c(-n4cnc(-c5cccnc5)c4)cccc23)ccc1C(N)=O,6.58,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2nccc3c(-c4cnc5ccccc5c4)cccc23)ccc1C(N)=O,5.82,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-c2nccc3c(-n4cnc(-c5cccnc5)c4)cccc23)ccc1C(N)=O,6.68,0.0,1
CHEMBL3880,CC(C)(C)Nc1cc(-n2nc(C(F)(F)F)c3c(-n4cnc(-c5cccnc5)c4)cccc32)ccc1C(N)=O,6.54,0.0,1
CHEMBL3880,CC(C)(C)OC(=O)NCCc1cncc(-c2cccc3c(-c4ccc(C(N)=O)c(NC5CCC(O)CC5)c4)nccc23)c1,5.57,0.0,1
CHEMBL3880,CC(C)(C)c1ccc(C(=O)c2c[nH]c(C(=O)O)c2)cc1,6.33,0.0,1
CHEMBL3880,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(O)cc(O)cc5OC431)C2=O,4.65,0.0,1
CHEMBL3880,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(O)cccc5OC431)C2=O,4.81,0.0,1
CHEMBL3880,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(cccc5OS(C)(=O)=O)OC431)C2=O,4.17,0.0,1
CHEMBL3880,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5ccccc5OC431)C2=O,4.62,0.0,1
CHEMBL3880,CC(C)=CCC12OCC3CC(C=C4C(=O)c5c(O)cccc5OC431)C2=O,4.84,0.0,1
CHEMBL3880,CC(C)=CCC12OCC3CC(C=C4C(=O)c5c(cccc5OS(C)(=O)=O)OC431)C2=O,4.87,0.0,1
CHEMBL3880,CC(C)=CCC12OCC3CC(C=C4C(=O)c5ccccc5OC431)C2=O,4.45,0.0,1
CHEMBL3880,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,4.66,0.0,1
CHEMBL3880,CC(C)COc1ncc2c(n1)CCN(C(=O)c1cc(C(C)C)c(O)cc1O)C2,7.19,0.0,1
CHEMBL3880,CC(C)Cn1cc(-c2cn(-c3cccc4c(-c5ccc(C(N)=O)c(NC6CCC(O)CC6)c5)nccc34)cn2)cn1,6.55,0.0,1
CHEMBL3880,CC(C)NC(=O)c1ccc(-c2cn(-c3ccnc4c3c(C(C)C)nn4-c3ccc(C(N)=O)cc3Cl)cn2)cc1,6.03,0.0,1
CHEMBL3880,CC(C)NC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc2c(c1)CCN(C)C2,7.22,0.0,1
